,Track_Name,Artists,Album_Name,Album_ID,Track_ID,Popularity,Release_date,Duration(ms),Explicit,External_URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
14,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),79Cyc8GRWnLyjdJSMyJ0dB,31nfdEooLEq7dn3UMcIeB5,86,2023-08-04,178156,False,https://open.spotify.com/track/31nfdEooLEq7dn3UMcIeB5,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959
15,Save Your Tears,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,5QO79kh1waicV47BqGRL3g,86,2020-03-20,215627,True,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,0.679,0.825,0,-5.487,1,0.0309,0.0212,1.21e-05,0.543,0.644,118.049
16,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,4czdORdCWP9umpbhFXK2fW,1yeB8MUNeLo9Ek1UEpsyz6,87,2023-10-06,319192,True,https://open.spotify.com/track/1yeB8MUNeLo9Ek1UEpsyz6,0.636,0.729,2,-4.495,1,0.055,0.0458,0.0,0.384,0.141,146.009
17,fukumean,Gunna,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,4rXLjWdF2ZZpXCVTfWcshS,86,2023-06-16,125040,True,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001
18,Get It Sexyy,Sexyy Red,Get It Sexyy,3ahxhuhmGJiN0CWLOff9Sw,2MjXWroB9wlTG2kqv3avfS,84,2024-03-15,148552,True,https://open.spotify.com/track/2MjXWroB9wlTG2kqv3avfS,0.811,0.64,5,-5.63,0,0.274,0.0957,0.0,0.127,0.527,145.031
19,SLAY!,Eternxlkz,SLAY!,3xCc8FxQsm6AE7ZWJ7h5sx,67smGwuPEtA6GAfeweAVNO,84,2024-03-15,107077,True,https://open.spotify.com/track/67smGwuPEtA6GAfeweAVNO,0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923
20,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,327tc3Eruk1HP1w62iqROy,3BKD1PwArikchz2Zrlp1qi,84,2023-04-06,140018,False,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944
21,Give It To Me - Full Vocal Mix,Matt Sassari,Give It To Me (Full Vocal Mix),1jbRY71konakrKvDUiW7Rp,5ZduaRci3iNUiDfJbBfAaf,84,2021-10-22,102861,False,https://open.spotify.com/track/5ZduaRci3iNUiDfJbBfAaf,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027
22,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",3cf4iSSKd8ffTncbtKljXw,3F5CgOj3wFlRv51JsHbxhe,85,2022-06-17,218365,True,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921
23,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,4otkd9As6YaxxEkIjXPiZ6,7FIWs0pqAYbP91WWM0vlTQ,83,2020-01-17,210800,True,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995
24,Push Up - Main Edit,Creeds,Push Up (Main Edit),3v5BP6gPT1nNU9rjs57fF0,3AjSfp5FDvwtMU9XBsbS8j,83,2023-03-31,139300,False,https://open.spotify.com/track/3AjSfp5FDvwtMU9XBsbS8j,0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023
25,LET'S GET FKD UP,"Alok, Mondello'G, CERES, Tribbs",LET'S GET FKD UP (feat. Tribbs),1zz2cxnkEpgyLdSmoPBEjK,0iB5f04XdJ2tcfhoVkeLV8,83,2023-11-17,121500,True,https://open.spotify.com/track/0iB5f04XdJ2tcfhoVkeLV8,0.65,0.946,10,-5.454,1,0.0421,0.00191,0.127,0.149,0.425,160.027
26,SICKO MODE,Travis Scott,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,2xLMifQCjDGFmkHkpNLD9h,83,2018-08-03,312820,True,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008
27,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,52u4anZbHd6UInnmHRFzba,0nbXyq5TXYPCO7pr3N8S4I,83,2019-12-06,196653,True,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971
28,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,0MV1yCXcNNQBfwApqAVkH0,7sO5G9EABYOXQKNPNiE9NR,83,2017-10-30,172800,True,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007
29,First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,4czdORdCWP9umpbhFXK2fW,7aqfrAY2p9BUSiupwk3svU,84,2023-10-06,247444,True,https://open.spotify.com/track/7aqfrAY2p9BUSiupwk3svU,0.475,0.655,11,-7.342,0,0.33,0.0306,0.0,0.375,0.245,163.997
30,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,1IHWl5LamUGEuP4ozKQSXZ,83,2022-05-06,243717,True,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672
31,Alibi (feat. Rudimental),"Ella Henderson, Rudimental",Alibi (feat. Rudimental),3Ku8LDPYg53Kh59amfFWjL,5Jpz4nv8nA6FIYO5gEyQa2,82,2024-01-12,184852,False,https://open.spotify.com/track/5Jpz4nv8nA6FIYO5gEyQa2,0.545,0.793,0,-3.615,0,0.0371,0.191,0.00281,0.335,0.411,87.024
32,METAMORPHOSIS,INTERWORLD,METAMORPHOSIS,3apQZbgVql9mHJlp43jk5D,2ksyzVfU0WJoBpu8otr4pz,82,2021-11-25,142839,True,https://open.spotify.com/track/2ksyzVfU0WJoBpu8otr4pz,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014
33,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),3KpxpdySrMR2S7noneu1bI,7MIhUdNJtaOnDmC5nBC1fb,81,2022-06-17,165753,False,https://open.spotify.com/track/7MIhUdNJtaOnDmC5nBC1fb,0.687,0.818,0,-4.221,1,0.0778,0.0112,0.0,0.248,0.886,125.952
34,It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,116jZe8fEmfjKBh4d8ZcDO,5OFVzqSeFxGpvDGyHvVeLj,81,2024-02-23,152305,False,https://open.spotify.com/track/5OFVzqSeFxGpvDGyHvVeLj,0.755,0.86,5,-4.811,0,0.0523,0.0144,7.47e-06,0.344,0.618,128.004
35,Freestyle,Lil Baby,Too Hard,750APP0eKVlcgOxaZnBnVt,5BbdKBZO0TH0GhfxUfyhL9,81,2017-12-01,162053,True,https://open.spotify.com/track/5BbdKBZO0TH0GhfxUfyhL9,0.877,0.516,2,-5.426,0,0.0706,0.215,0.0,0.143,0.255,119.996
36,Belly Dancer,"Imanbek, BYOR",Belly Dancer,2npvQTpyjLtapBWTNTNlqn,7fZBQnc0zXwVybgCIrQQil,81,2022-02-18,151475,False,https://open.spotify.com/track/7fZBQnc0zXwVybgCIrQQil,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985
37,FTCU,Nicki Minaj,Pink Friday 2,2bYCNZfxZrTUv1CHXkz2d2,1a73gcEg6h6Re6hHXoVltJ,80,2023-12-08,172138,True,https://open.spotify.com/track/1a73gcEg6h6Re6hHXoVltJ,0.93,0.435,11,-6.694,1,0.202,0.0173,0.000287,0.117,0.227,144.978
38,Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",Boyz In Paris (with VINAI),3FrWieInAhMTL33yALP6H0,17NHXI2CJp7KgdcwcDnRx4,80,2023-07-28,151589,True,https://open.spotify.com/track/17NHXI2CJp7KgdcwcDnRx4,0.628,0.967,1,-4.068,1,0.0485,0.0398,4.67e-05,0.274,0.399,149.036
39,Murder In My Mind,Kordhell,Murder In My Mind,68GI09qAs2XLJmA3hj5K7y,6qyS9qBy0mEk3qYaH8mPss,80,2022-01-21,145000,True,https://open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966
40,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Justin Bieber, Future",Love Sick,26z5llzd194mcCZHADWd6k,52NGJPcLUzQq5w7uv4e5gf,80,2023-02-24,238253,True,https://open.spotify.com/track/52NGJPcLUzQq5w7uv4e5gf,0.858,0.641,1,-4.31,0,0.0954,0.111,2.12e-05,0.109,0.445,136.991
41,Pepas,Farruko,Pepas,2A5ksnhz7YWbRLvFMjX1j1,5fwSHlTEWpluwOM0Sxnh5k,80,2021-06-24,287120,True,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
42,Thunder,"Gabry Ponte, LUM!X, Prezioso",Thunder,35Q09Y0b7ZxOoCdF7sBiGf,2USlegnFJLrVLpoVfPimKB,80,2021-05-07,160000,False,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216
43,Doja,Central Cee,Doja,6oECjagksATHu2UaclXrq1,3LtpKP5abr2qqjunvjlX5i,80,2022-07-21,97393,True,https://open.spotify.com/track/3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04
44,Dernière danse - Techno Mix,"Indila, BENNETT",Dernière danse (Techno Mix),3MhGOga5TlR7JfKxDSxv9Q,5fIZ683j2xPeLAXfHeWKEG,80,2024-01-26,197143,False,https://open.spotify.com/track/5fIZ683j2xPeLAXfHeWKEG,0.589,0.734,0,-5.365,0,0.077,0.0289,0.000299,0.326,0.356,140.004
45,"Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,"Are You Going to See the Rose in the Vase, or the Dust on the Table",1X1uDkDDs2BQiKlghA0gVQ,78RdTKcI2CediltTnGLIqr,79,2024-04-19,150943,True,https://open.spotify.com/track/78RdTKcI2CediltTnGLIqr,0.749,0.505,11,-6.793,0,0.0458,0.0752,0.0,0.494,0.258,140.006
46,Call It Love,"Felix Jaehn, Ray Dalton",Call It Love,5c3YGhnf058Op4YviM73wn,5YdnOm5990Kfq1Jodws98B,79,2022-09-16,154561,False,https://open.spotify.com/track/5YdnOm5990Kfq1Jodws98B,0.616,0.841,5,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,110.029
